升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率,年份_102,年份_103,年份_104,年份_105,年份_106,年份_107,年份_108,年份_109,年份_110,設立別_國立,設立別_私立,設立別_縣市立,學程別_實用技能學程,學程別_專業群科,學程別_普通科,學程別_綜合高中,學程別_職業科,學程別_進修部,群科別_其他(綜合),群科別_動力機械群,群科別_化工群,群科別_商業群,群科別_商業與管理群,群科別_土木與建築群,群科別_外語群,群科別_學術學程,群科別_學術群,群科別_家政群,群科別_普通科,群科別_服務群,群科別_機械群,群科別_水產群,群科別_海事群,群科別_無,群科別_綜合,群科別_美容造型群,群科別_藝術群,群科別_設計群,群科別_農業群,群科別_電機與電子群,群科別_食品群,群科別_餐旅群
45.9129775002,0.2130329472,46.7067440978,0.4114745966,0.0,0.0029182596,0.0175095573,0.0087547787,0.1400764584,1.1877316369,1.3365628739,0.6595266583,0.0204278169,0.0029182596,0.0,0.0233460764,0.0,0.0,0.0116730382,0.0379373742,0.0029182596,0.0817112674,0.0058365191,0.0,0.0,0.0029182596,0.0204278169,0.2889076955,0.0029182596,0.0,0.0116730382,0.0466921528,0.0116730382,0.2859894359,0.026264336,2.1886946625,0.0087547787,0.0116730382,0.0904660461,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.12,9.24,40.6,6.57,0.47,0.0,0.09,0.09,0.0,0.04,2.0,0.02,0.09,0.16,0.02,2.04,0.0,0.0,0.36,0.16,0.11,0.36,0.04,0.0,0.0,0.29,0.27,0.8,0.16,0.0,0.07,0.71,0.33,2.22,0.47,0.89,0.11,0.02,0.24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24.86,3.79,37.61,5.25,0.97,0.56,0.0,0.08,0.0,0.16,2.74,0.0,0.0,1.05,0.16,2.66,0.08,0.0,0.81,0.4,0.24,1.69,0.0,0.0,0.0,1.69,0.81,4.28,0.0,0.0,0.24,0.89,0.32,5.33,0.32,1.78,0.24,0.08,0.24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.92,3.29,47.7,2.35,0.35,0.08,0.1,0.12,0.0,0.06,1.94,0.0,0.04,0.25,0.04,0.79,0.21,0.02,0.15,0.27,0.06,0.5,0.1,0.0,0.0,0.21,0.21,1.19,0.0,0.02,0.06,0.73,0.31,2.75,0.48,1.04,0.06,0.02,0.33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44.64,2.76,42.35,2.52,0.16,0.08,0.0,0.08,0.0,0.0,2.05,0.0,0.0,0.08,0.0,0.47,0.0,0.0,0.08,0.0,0.0,0.79,0.16,0.0,0.0,0.32,0.0,0.71,0.0,0.08,0.0,0.24,0.08,0.95,0.24,0.95,0.0,0.08,0.08,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.94,5.29,53.35,2.37,1.97,0.08,0.16,0.16,0.0,0.0,1.66,0.08,0.08,0.32,0.0,0.08,0.0,0.0,0.47,0.47,0.0,1.1,0.0,0.0,0.0,0.08,0.08,1.97,0.0,0.0,0.0,0.32,0.16,2.29,0.16,1.26,0.08,0.08,0.32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.33,5.51,53.87,1.24,0.01,0.05,0.04,0.03,0.01,0.01,0.78,0.06,0.03,0.06,0.03,0.09,0.03,0.0,0.04,0.16,0.01,0.71,0.05,0.03,0.01,0.08,0.06,0.49,0.0,0.03,0.29,0.64,0.03,0.69,0.19,0.68,0.03,0.01,0.19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.92,0.9,40.47,0.56,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.23,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.34,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.34,0.0,0.11,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.3,7.38,61.02,1.34,0.0,0.0,0.0,0.0,0.0,0.08,1.09,0.08,0.08,0.0,0.0,0.17,0.0,0.0,0.25,0.42,0.0,0.75,0.17,0.0,0.0,0.25,0.0,0.34,0.08,0.0,0.08,0.59,0.08,0.84,0.25,1.42,0.0,0.08,0.42,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27.62,5.38,43.04,3.55,2.0,0.0,0.06,0.0,0.0,0.11,0.78,0.0,0.06,1.72,0.0,0.67,0.0,0.0,0.28,0.61,0.22,2.27,0.11,0.0,0.0,0.44,0.72,3.55,0.0,0.11,0.44,1.33,0.06,1.89,1.22,0.39,0.06,0.06,0.55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
