設立別,學程別,群科別,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
國立,普通科,,34267,1,0,8,0,0,4,13,1,28,2,0,0,1,7,99,1,0,4,16,0.5398780168,0.0029182596,0,0.0233460764,0,0,0.0116730382,0.0379373742,0.0029182596,0.0817112674,0.0058365191,0,0,0.0029182596,0.0204278169,0.2889076955,0.0029182596,0,0.0116730382,0.0466921528
國立,職業科,機械群,4502,7,1,92,0,0,16,7,5,16,2,0,0,13,12,36,7,0,3,32,5.53,0.16,0.02,2.04,0,0,0.36,0.16,0.11,0.36,0.04,0,0,0.29,0.27,0.8,0.16,0,0.07,0.71
國立,職業科,動力機械群,1239,13,2,33,1,0,10,5,3,21,0,0,0,21,10,53,0,0,3,11,15.01,1.05,0.16,2.66,0.08,0,0.81,0.4,0.24,1.69,0,0,0,1.69,0.81,4.28,0,0,0.24,0.89
國立,職業科,電機與電子群,5195,13,2,41,11,1,8,14,3,26,5,0,0,11,11,62,0,1,3,38,4.81,0.25,0.04,0.79,0.21,0.02,0.15,0.27,0.06,0.5,0.1,0,0,0.21,0.21,1.19,0,0.02,0.06,0.73
國立,職業科,化工群,1268,1,0,6,0,0,1,0,0,10,2,0,0,4,0,9,0,1,0,3,2.92,0.08,0,0.47,0,0,0.08,0,0,0.79,0.16,0,0,0.32,0,0.71,0,0.08,0,0.24
國立,職業科,土木與建築群,1267,4,0,1,0,0,6,6,0,14,0,0,0,1,1,25,0,0,0,4,4.89,0.32,0,0.08,0,0,0.47,0.47,0,1.1,0,0,0,0.08,0.08,1.97,0,0,0,0.32
國立,職業科,商業與管理群,7990,5,2,7,2,0,3,13,1,57,4,2,1,6,5,39,0,2,23,51,2.79,0.06,0.03,0.09,0.03,0,0.04,0.16,0.01,0.71,0.05,0.03,0.01,0.08,0.06,0.49,0,0.03,0.29,0.64
國立,職業科,外語群,887,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0.68,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.11,0.34,0,0,0.11,0
國立,職業科,設計群,1193,0,0,2,0,0,3,5,0,9,2,0,0,3,0,4,1,0,1,7,3.1,0,0,0.17,0,0,0.25,0.42,0,0.75,0.17,0,0,0.25,0,0.34,0.08,0,0.08,0.59
國立,職業科,農業群,1803,31,0,12,0,0,5,11,4,41,2,0,0,8,13,64,0,2,8,24,12.48,1.72,0,0.67,0,0,0.28,0.61,0.22,2.27,0.11,0,0,0.44,0.72,3.55,0,0.11,0.44,1.33
國立,職業科,食品群,1297,2,2,6,3,0,5,14,0,27,2,0,0,6,1,30,0,1,0,18,9.02,0.15,0.15,0.46,0.23,0,0.39,1.08,0,2.08,0.15,0,0,0.46,0.08,2.31,0,0.08,0,1.39
國立,職業科,家政群,1414,4,0,9,0,0,0,4,0,30,0,0,0,0,0,6,1,1,7,31,6.58,0.28,0,0.64,0,0,0,0.28,0,2.12,0,0,0,0,0,0.42,0.07,0.07,0.5,2.19
國立,職業科,餐旅群,978,2,1,3,1,2,1,7,2,44,1,1,0,1,0,17,0,0,0,22,10.74,0.2,0.1,0.31,0.1,0.2,0.1,0.72,0.2,4.5,0.1,0.1,0,0.1,0,1.74,0,0,0,2.25
國立,職業科,水產群,305,2,0,6,2,1,2,6,1,6,0,0,0,3,3,7,0,2,0,21,20.33,0.66,0,1.97,0.66,0.33,0.66,1.97,0.33,1.97,0,0,0,0.98,0.98,2.3,0,0.66,0,6.89
