設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
國立,普通科,,34986,16622,89,15794,125,0,0,1,1,49,433,421,221,2,96.4900245813,47.5104327445,0.2543874693,45.1437717944,0.3572857715,0,0,0.0028582862,0.0028582862,0.1400560224,1.2376379123,1.2033384782,0.6316812439,0.0057165723
國立,專業群(職業)科,機械群,4426,1455,338,1740,225,21,2,2,4,0,3,98,0,7,88.0027112517,32.8739267962,7.6366922729,39.3131495707,5.0835969272,0.4744690465,0.0451875282,0.0451875282,0.0903750565,0,0.0677812924,2.2141888839,0,0.1581563488
國立,專業群(職業)科,動力機械群,1283,249,100,445,109,10,0,1,2,0,0,32,1,0,73.9672642245,19.4076383476,7.7942322681,34.6843335931,8.4957131723,0.7794232268,0,0.0779423227,0.1558846454,0,0,2.4941543258,0.0779423227,0
國立,專業群(職業)科,電機與電子群,5081,1735,168,2256,162,10,5,3,9,0,11,108,1,3,87.9944892738,34.1468214918,3.306435741,44.4007085219,3.1883487502,0.1968116512,0.0984058256,0.0590434954,0.1771304861,0,0.2164928164,2.1255658335,0.0196811651,0.0590434954
國立,專業群(職業)科,化工群,1217,551,32,511,15,3,1,1,3,0,0,26,0,1,94.0016433854,45.2752670501,2.6294165982,41.9884963024,1.2325390304,0.2465078061,0.0821692687,0.0821692687,0.2465078061,0,0,2.136400986,0,0.0821692687
國立,專業群(職業)科,土木與建築群,1255,346,46,635,23,21,0,4,2,0,2,14,0,0,87.0916334661,27.5697211155,3.6653386454,50.5976095618,1.8326693227,1.6733067729,0,0.3187250996,0.1593625498,0,0.1593625498,1.1155378486,0,0
國立,專業群(職業)科,商業與管理群,8054,2734,270,4339,106,6,8,0,1,1,9,81,9,4,93.9657313136,33.9458654085,3.3523714924,53.8738515024,1.3161162155,0.0744971443,0.0993295257,0,0.0124161907,0.0124161907,0.1117457164,1.0057114477,0.1117457164,0.0496647629
國立,專業群(職業)科,外語群,942,534,10,359,7,1,0,0,0,0,2,7,0,0,97.6645435244,56.6878980892,1.0615711253,38.110403397,0.7430997877,0.1061571125,0,0,0,0,0.2123142251,0.7430997877,0,0
國立,專業群(職業)科,設計群,1193,267,31,769,30,1,0,0,2,0,1,11,3,0,93.461860855,22.3805532272,2.5984911987,64.4593461861,2.5146689019,0.0838222967,0,0,0.1676445935,0,0.0838222967,0.922045264,0.2514668902,0
國立,專業群(職業)科,農業群,1819,513,108,773,40,37,1,1,0,0,2,14,3,1,82.0780648708,28.202308961,5.9373282023,42.4958768554,2.1990104453,2.0340846619,0.0549752611,0.0549752611,0,0,0.1099505223,0.7696536559,0.1649257834,0.0549752611
