設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,普通科,普通科,27679,7,0,13,0,1,4,12,1,46,2,0,0,0,3,85,2,0,9,20,0.74,0.03,0,0.05,0,0,0.01,0.04,0,0.17,0.01,0,0,0,0.01,0.31,0.01,0,0.03,0.07
國立,專業群(職業)科,機械群,3347,11,1,105,2,0,12,6,2,30,0,0,1,12,7,32,0,0,11,21,7.56,0.33,0.03,3.14,0.06,0,0.36,0.18,0.06,0.9,0,0,0.03,0.36,0.21,0.96,0,0,0.33,0.63
國立,專業群(職業)科,動力機械群,958,12,0,53,8,0,13,10,7,17,2,0,0,43,3,6,0,1,11,37,23.28,1.25,0,5.53,0.84,0,1.36,1.04,0.73,1.77,0.21,0,0,4.49,0.31,0.63,0,0.1,1.15,3.86
國立,專業群(職業)科,電機與電子群,3947,18,1,80,18,3,14,14,4,44,1,1,0,42,11,40,0,1,8,29,8.34,0.46,0.03,2.03,0.46,0.08,0.35,0.35,0.1,1.11,0.03,0.03,0,1.06,0.28,1.01,0,0.03,0.2,0.73
國立,專業群(職業)科,化工群,846,1,0,12,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,10,3.66,0.12,0,1.42,0,0,0,0,0,0.83,0,0,0,0.12,0,0,0,0,0,1.18
國立,專業群(職業)科,土木與建築群,1007,5,4,5,1,0,11,1,1,13,0,0,0,1,3,1,0,0,1,9,5.56,0.5,0.4,0.5,0.1,0,1.09,0.1,0.1,1.29,0,0,0,0.1,0.3,0.1,0,0,0.1,0.89
國立,專業群(職業)科,商業與管理群,6136,8,1,34,3,0,9,51,0,70,1,4,2,11,2,66,1,5,7,28,4.94,0.13,0.02,0.55,0.05,0,0.15,0.83,0,1.14,0.02,0.07,0.03,0.18,0.03,1.08,0.02,0.08,0.11,0.46
國立,專業群(職業)科,外語群,927,0,0,2,0,0,0,2,0,6,1,0,0,2,0,1,1,0,1,4,2.16,0,0,0.22,0,0,0,0.22,0,0.65,0.11,0,0,0.22,0,0.11,0.11,0,0.11,0.43
國立,專業群(職業)科,設計群,1139,1,0,2,1,0,2,0,0,11,0,1,0,2,2,5,1,0,6,3,3.25,0.09,0,0.18,0.09,0,0.18,0,0,0.97,0,0.09,0,0.18,0.18,0.44,0.09,0,0.53,0.26
國立,專業群(職業)科,農業群,1590,56,2,7,4,0,10,5,3,47,0,0,0,7,15,32,0,2,12,16,13.71,3.52,0.13,0.44,0.25,0,0.63,0.31,0.19,2.96,0,0,0,0.44,0.94,2.01,0,0.13,0.75,1.01
