設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,普通科,普通科,27679,12718,74,12810,55,2,0,2,1,30,396,402,249,6,96.63,45.95,0.27,46.28,0.2,0.01,0,0.01,0,0.11,1.43,1.45,0.9,0.02
國立,專業群(職業)科,機械群,3347,1004,260,1315,203,13,1,1,0,1,2,67,2,0,85.72,30,7.77,39.29,6.07,0.39,0.03,0.03,0,0.03,0.06,2,0.06,0
國立,專業群(職業)科,動力機械群,958,148,75,267,66,6,0,0,0,0,0,26,0,0,61.38,15.45,7.83,27.87,6.89,0.63,0,0,0,0,0,2.71,0,0
國立,專業群(職業)科,電機與電子群,3947,1244,197,1615,107,26,8,0,1,0,10,81,1,2,83.41,31.52,4.99,40.92,2.71,0.66,0.2,0,0.03,0,0.25,2.05,0.03,0.05
國立,專業群(職業)科,化工群,846,376,33,341,7,0,1,0,0,0,1,14,0,0,91.37,44.44,3.9,40.31,0.83,0,0.12,0,0,0,0.12,1.65,0,0
國立,專業群(職業)科,土木與建築群,1007,269,29,517,20,19,0,0,1,0,0,15,0,0,86.4,26.71,2.88,51.34,1.99,1.89,0,0,0.1,0,0,1.49,0,0
國立,專業群(職業)科,商業與管理群,6136,2116,236,3062,129,12,3,1,0,1,12,58,5,1,91.85,34.49,3.85,49.9,2.1,0.2,0.05,0.02,0,0.02,0.2,0.95,0.08,0.02
國立,專業群(職業)科,外語群,927,372,18,478,10,2,2,0,0,1,1,3,1,0,95.79,40.13,1.94,51.56,1.08,0.22,0.22,0,0,0.11,0.11,0.32,0.11,0
國立,專業群(職業)科,設計群,1139,201,42,778,28,1,1,0,0,2,0,7,2,0,93.24,17.65,3.69,68.31,2.46,0.09,0.09,0,0,0.18,0,0.61,0.18,0
國立,專業群(職業)科,農業群,1590,534,129,508,30,19,11,0,3,0,0,7,0,0,78.05,33.58,8.11,31.95,1.89,1.19,0.69,0,0.19,0,0,0.44,0,0
國立,專業群(職業)科,食品群,1128,246,67,555,41,0,0,5,0,0,0,12,0,0,82.09,21.81,5.94,49.2,3.63,0,0,0.44,0,0,0,1.06,0,0
國立,專業群(職業)科,家政群,1186,161,29,780,23,14,11,0,0,0,1,5,0,0,86.34,13.58,2.45,65.77,1.94,1.18,0.93,0,0,0,0.08,0.42,0,0
國立,專業群(職業)科,餐旅群,1072,323,27,507,27,2,0,1,0,0,0,9,1,0,83.68,30.13,2.52,47.29,2.52,0.19,0,0.09,0,0,0,0.84,0.09,0
國立,專業群(職業)科,水產群,210,109,4,24,3,0,1,0,0,0,0,0,0,0,67.14,51.9,1.9,11.43,1.43,0,0.48,0,0,0,0,0,0,0
國立,專業群(職業)科,海事群,241,75,4,30,0,0,0,3,0,0,0,3,1,0,48.13,31.12,1.66,12.45,0,0,0,1.24,0,0,0,1.24,0.41,0
國立,專業群(職業)科,藝術群,134,74,0,37,0,0,0,0,0,0,0,0,0,0,82.84,55.22,0,27.61,0,0,0,0,0,0,0,0,0,0
國立,專業群(職業)科,綜合,685,1,2,77,6,0,2,0,0,0,0,0,1,0,12.99,0.15,0.29,11.24,0.88,0,0.29,0,0,0,0,0,0.15,0
國立,綜合高中,學術群,3793,948,17,2458,46,2,0,0,0,3,45,53,42,1,95.31,24.99,0.45,64.8,1.21,0.05,0,0,0,0.08,1.19,1.4,1.11,0.03
國立,綜合高中,機械群,196,88,3,61,8,0,0,0,0,0,0,2,1,0,83.16,44.9,1.53,31.12,4.08,0,0,0,0,0,0,1.02,0.51,0
國立,綜合高中,動力機械群,12,2,2,5,0,0,0,0,0,0,0,1,0,0,83.33,16.67,16.67,41.67,0,0,0,0,0,0,0,8.33,0,0
國立,綜合高中,電機與電子群,303,125,3,137,11,0,0,0,0,0,0,3,0,0,92.08,41.25,0.99,45.21,3.63,0,0,0,0,0,0,0.99,0,0
國立,綜合高中,化工群,40,25,0,15,0,0,0,0,0,0,0,0,0,0,100,62.5,0,37.5,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,土木與建築群,140,40,20,61,1,0,0,1,0,0,0,3,0,0,90,28.57,14.29,43.57,0.71,0,0,0.71,0,0,0,2.14,0,0
國立,綜合高中,商業與管理群,937,227,12,576,24,1,0,0,1,0,1,4,4,0,90.72,24.23,1.28,61.47,2.56,0.11,0,0,0.11,0,0.11,0.43,0.43,0
