設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,普通科,普通科,25395,11,4,18,0,1,14,8,3,49,5,4,0,8,22,101,4,1,30,29,1.23,0.04,0.02,0.07,0,0,0.06,0.03,0.01,0.19,0.02,0.02,0,0.03,0.09,0.4,0.02,0,0.12,0.11
國立,專業群科,機械群,3201,20,3,135,6,1,18,4,6,35,3,0,0,14,8,53,0,0,4,15,10.15,0.62,0.09,4.22,0.19,0.03,0.56,0.12,0.19,1.09,0.09,0,0,0.44,0.25,1.66,0,0,0.12,0.47
國立,專業群科,動力機械群,996,21,1,30,6,0,10,19,16,16,2,0,0,60,2,67,0,0,2,8,26.1,2.11,0.1,3.01,0.6,0,1,1.91,1.61,1.61,0.2,0,0,6.02,0.2,6.73,0,0,0.2,0.8
國立,專業群科,電機與電子群,3672,35,0,62,18,0,16,16,7,70,2,0,0,41,5,85,1,0,12,20,10.62,0.95,0,1.69,0.49,0,0.44,0.44,0.19,1.91,0.05,0,0,1.12,0.14,2.31,0.03,0,0.33,0.54
國立,專業群科,化工群,836,0,0,13,0,0,0,1,0,5,0,0,0,0,0,5,0,3,4,4,4.19,0,0,1.56,0,0,0,0.12,0,0.6,0,0,0,0,0,0.6,0,0.36,0.48,0.48
國立,專業群科,土木與建築群,949,11,0,6,0,0,18,5,0,11,2,0,0,5,0,23,0,1,0,9,9.59,1.16,0,0.63,0,0,1.9,0.53,0,1.16,0.21,0,0,0.53,0,2.42,0,0.11,0,0.95
國立,專業群科,商業與管理群,5553,9,0,10,2,0,4,40,11,77,5,4,1,2,8,70,0,4,18,31,5.33,0.16,0,0.18,0.04,0,0.07,0.72,0.2,1.39,0.09,0.07,0.02,0.04,0.14,1.26,0,0.07,0.32,0.56
國立,專業群科,外語群,884,0,0,1,1,0,0,2,0,4,0,0,0,0,0,3,0,1,0,0,1.36,0,0,0.11,0.11,0,0,0.23,0,0.45,0,0,0,0,0,0.34,0,0.11,0,0
國立,專業群科,設計群,1065,5,0,3,0,0,5,3,0,13,3,0,0,3,0,8,0,1,0,4,4.51,0.47,0,0.28,0,0,0.47,0.28,0,1.22,0.28,0,0,0.28,0,0.75,0,0.09,0,0.38
國立,專業群科,農業群,1414,42,0,21,2,0,4,11,3,45,0,0,0,5,7,57,0,2,18,23,16.97,2.97,0,1.49,0.14,0,0.28,0.78,0.21,3.18,0,0,0,0.35,0.5,4.03,0,0.14,1.27,1.63
