設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,普通科,普通科,25540,11148,79,11390,114,2,2,1,3,38,170,490,267,5,92.83,43.65,0.31,44.6,0.45,0.01,0.01,0,0.01,0.15,0.67,1.92,1.05,0.02
國立,專業群科,機械群,3255,1029,237,1281,175,12,3,0,3,0,4,45,2,1,85.78,31.61,7.28,39.35,5.38,0.37,0.09,0,0.09,0,0.12,1.38,0.06,0.03
國立,專業群科,動力機械群,945,172,88,288,67,11,4,0,0,0,1,18,0,0,68.68,18.2,9.31,30.48,7.09,1.16,0.42,0,0,0,0.11,1.9,0,0
國立,專業群科,電機與電子群,3831,1272,215,1529,96,32,3,1,1,0,6,52,0,0,83.71,33.2,5.61,39.91,2.51,0.84,0.08,0.03,0.03,0,0.16,1.36,0,0
國立,專業群科,化工群,813,391,9,340,8,0,2,0,0,0,0,8,0,0,93.23,48.09,1.11,41.82,0.98,0,0.25,0,0,0,0,0.98,0,0
國立,專業群科,土木與建築群,951,311,35,403,28,7,0,0,0,0,1,16,2,0,84.44,32.7,3.68,42.38,2.94,0.74,0,0,0,0,0.11,1.68,0.21,0
國立,專業群科,商業與管理群,5594,2000,194,2722,114,9,6,0,2,0,5,89,2,0,91.94,35.75,3.47,48.66,2.04,0.16,0.11,0,0.04,0,0.09,1.59,0.04,0
國立,專業群科,外語群,910,414,21,430,8,0,0,0,0,0,0,6,4,0,97.03,45.49,2.31,47.25,0.88,0,0,0,0,0,0,0.66,0.44,0
國立,專業群科,設計群,1156,228,16,758,22,1,2,0,0,0,0,10,3,1,90.05,19.72,1.38,65.57,1.9,0.09,0.17,0,0,0,0,0.87,0.26,0.09
國立,專業群科,農業群,1428,534,100,445,26,22,1,2,2,0,0,6,0,0,79.69,37.39,7,31.16,1.82,1.54,0.07,0.14,0.14,0,0,0.42,0,0
