設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立, 普通科, 普通科,23214,6,0,16,3,0,13,12,1,41,0,1,1,4,10,109,4,0,11,33,1.14,0.03,0,0.07,0.01,0,0.06,0.05,0,0.18,0,0,0,0.02,0.04,0.47,0.02,0,0.05,0.14
國立, 專業群科,機械群,2983,18,0,84,8,2,12,11,3,17,2,1,0,25,10,60,0,0,9,20,9.45,0.6,0,2.82,0.27,0.07,0.4,0.37,0.1,0.57,0.07,0.03,0,0.84,0.34,2.01,0,0,0.3,0.67
國立, 專業群科,動力機械群,908,14,1,32,1,0,17,5,8,7,1,0,1,45,16,61,0,0,3,27,26.32,1.54,0.11,3.52,0.11,0,1.87,0.55,0.88,0.77,0.11,0,0.11,4.96,1.76,6.72,0,0,0.33,2.97
國立, 專業群科,電機與電子群,3429,13,0,52,25,0,20,8,0,28,1,0,0,24,11,90,0,0,0,19,8.49,0.38,0,1.52,0.73,0,0.58,0.23,0,0.82,0.03,0,0,0.7,0.32,2.62,0,0,0,0.55
國立, 專業群科,化工群,712,2,0,2,0,0,1,0,0,0,1,0,0,2,2,6,0,0,4,7,3.79,0.28,0,0.28,0,0,0.14,0,0,0,0.14,0,0,0.28,0.28,0.84,0,0,0.56,0.98
國立, 專業群科,土木與建築群,819,2,0,3,1,0,28,2,4,8,0,0,0,1,0,21,0,0,0,9,9.65,0.24,0,0.37,0.12,0,3.42,0.24,0.49,0.98,0,0,0,0.12,0,2.56,0,0,0,1.1
國立, 專業群科,商業與管理群,4972,8,0,25,1,0,10,13,9,68,1,3,0,10,16,66,0,1,3,15,5.01,0.16,0,0.5,0.02,0,0.2,0.26,0.18,1.37,0.02,0.06,0,0.2,0.32,1.33,0,0.02,0.06,0.3
國立, 專業群科,外語群,850,1,0,0,0,0,1,2,1,1,0,1,0,0,0,8,1,1,0,1,2.12,0.12,0,0,0,0,0.12,0.24,0.12,0.12,0,0.12,0,0,0,0.94,0.12,0.12,0,0.12
國立, 專業群科,設計群,1083,2,0,5,1,0,6,9,0,10,0,1,0,1,5,7,0,0,1,4,4.8,0.18,0,0.46,0.09,0,0.55,0.83,0,0.92,0,0.09,0,0.09,0.46,0.65,0,0,0.09,0.37
國立, 專業群科,農業群,1175,34,2,18,1,0,11,8,1,30,1,0,0,3,9,44,0,1,7,16,15.83,2.89,0.17,1.53,0.09,0,0.94,0.68,0.09,2.55,0.09,0,0,0.26,0.77,3.74,0,0.09,0.6,1.36
國立, 專業群科,食品群,952,4,0,17,0,0,2,10,3,45,1,0,0,1,19,32,0,1,1,7,15.02,0.42,0,1.79,0,0,0.21,1.05,0.32,4.73,0.11,0,0,0.11,2,3.36,0,0.11,0.11,0.74
國立, 專業群科,家政群,906,4,1,7,0,1,1,11,0,40,0,1,0,1,0,16,2,1,10,12,11.92,0.44,0.11,0.77,0,0.11,0.11,1.21,0,4.42,0,0.11,0,0.11,0,1.77,0.22,0.11,1.1,1.32
國立, 專業群科,餐旅群,1093,3,0,7,3,0,1,6,2,62,0,0,0,0,4,52,0,1,0,12,14,0.27,0,0.64,0.27,0,0.09,0.55,0.18,5.67,0,0,0,0,0.37,4.76,0,0.09,0,1.1
國立, 專業群科,水產群,149,3,0,1,0,0,2,2,0,6,0,0,0,1,0,0,0,0,0,2,11.41,2.01,0,0.67,0,0,1.34,1.34,0,4.03,0,0,0,0.67,0,0,0,0,0,1.34
國立, 專業群科,海事群,249,4,0,10,1,0,6,3,27,3,0,0,0,1,0,21,0,0,1,5,32.93,1.61,0,4.02,0.4,0,2.41,1.2,10.84,1.2,0,0,0,0.4,0,8.43,0,0,0.4,2.01
國立, 專業群科,藝術群,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,0
國立, 專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立, 專業群科,綜合,567,16,0,53,9,3,20,30,5,86,3,0,0,8,25,6,0,3,6,69,60.32,2.82,0,9.35,1.59,0.53,3.53,5.29,0.88,15.17,0.53,0,0,1.41,4.41,1.06,0,0.53,1.06,12.17
國立, 綜合高中,  學術學程,2912,2,0,4,0,0,2,1,0,8,0,1,0,0,1,12,0,0,3,4,1.3,0.07,0,0.14,0,0,0.07,0.03,0,0.27,0,0.03,0,0,0.03,0.41,0,0,0.1,0.14
國立, 綜合高中,機械群,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.23,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08
國立, 綜合高中,動力機械群,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立, 綜合高中,電機與電子群,107,1,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,1,7.48,0.93,0,0,0,0,0,0.93,0,2.8,0,0,0,0,1.87,0,0,0,0,0.93
國立, 綜合高中,化工群,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立, 綜合高中,土木與建築群,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0
國立, 綜合高中,商業群,356,2,0,0,1,0,1,1,0,2,0,0,0,0,0,8,0,0,0,1,4.49,0.56,0,0,0.28,0,0.28,0.28,0,0.56,0,0,0,0,0,2.25,0,0,0,0.28
國立, 綜合高中,外語群,113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0
國立, 綜合高中,設計群,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0
國立, 綜合高中,農業群,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,1.96
國立, 綜合高中,食品群,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
國立, 綜合高中,家政群,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
國立, 綜合高中,餐旅群,210,0,0,4,0,0,0,2,0,8,0,0,0,0,0,11,1,0,0,2,13.33,0,0,1.9,0,0,0,0.95,0,3.81,0,0,0,0,0,5.24,0.48,0,0,0.95
國立, 綜合高中,水產群,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,11.11,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,3.7,0,0,0,0
國立, 綜合高中,藝術群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立, 綜合高中,綜合,91,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,1,10.99,0,0,0,0,0,0,1.1,0,3.3,0,0,0,0,0,5.49,0,0,0,0
國立, 實用技能學程,機械群,273,8,0,14,1,0,2,12,1,5,0,0,0,2,0,8,0,0,3,5,22.34,2.93,0,5.13,0.37,0,0.73,4.4,0.37,1.83,0,0,0,0.73,0,2.93,0,0,1.1,1.83
國立, 實用技能學程,動力機械群,50,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,18,0,0,4,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,6
國立, 實用技能學程,電機與電子群,287,14,0,11,18,0,10,1,2,7,0,0,0,10,0,21,0,1,0,2,33.8,4.88,0,3.83,6.27,0,3.48,0.35,0.7,2.44,0,0,0,3.48,0,7.32,0,0.35,0,0.7
國立, 實用技能學程,土木與建築群,109,0,0,5,1,0,10,2,0,2,0,0,0,0,0,0,0,0,0,2,20.18,0,0,4.59,0.92,0,9.17,1.83,0,1.83,0,0,0,0,0,0,0,0,0,1.83
國立, 實用技能學程,商業群,262,4,5,3,4,1,1,14,3,12,1,0,1,0,2,4,0,0,2,1,22.14,1.53,1.91,1.15,1.53,0.38,0.38,5.34,1.15,4.58,0.38,0,0.38,0,0.76,1.53,0,0,0.76,0.38
國立, 實用技能學程,設計群,119,0,0,1,0,0,6,0,0,4,0,0,0,0,2,2,0,0,3,0,15.13,0,0,0.84,0,0,5.04,0,0,3.36,0,0,0,0,1.68,1.68,0,0,2.52,0
