設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立, 普通科,普通科,23214,8,56,11,299,3,4,45,0.03,0.24,0.05,1.29,0.01,0.02,0.19
國立, 專業群科,機械群,2983,5,43,23,21,10,0,7,0.17,1.44,0.77,0.70,0.34,0.00,0.23
國立, 專業群科,動力機械群,908,0,23,7,6,5,0,9,0.00,2.53,0.77,0.66,0.55,0.00,0.99
國立, 專業群科,電機與電子群,3429,7,59,29,21,1,0,9,0.20,1.72,0.85,0.61,0.03,0.00,0.26
國立, 專業群科,化工群,712,1,3,3,0,1,0,0,0.14,0.42,0.42,0.00,0.14,0.00,0.00
國立, 專業群科,土木與建築群,819,4,7,11,3,0,1,0,0.49,0.85,1.34,0.37,0.00,0.12,0.00
國立, 專業群科,商業與管理群,4972,10,27,32,24,2,0,11,0.20,0.54,0.64,0.48,0.04,0.00,0.22
國立, 專業群科,外語群,850,1,0,2,5,0,0,0,0.12,0.00,0.24,0.59,0.00,0.00,0.00
國立, 專業群科,設計群,1083,2,3,7,5,1,1,2,0.18,0.28,0.65,0.46,0.09,0.09,0.18
國立, 專業群科,農業群,1175,2,12,19,3,6,0,3,0.17,1.02,1.62,0.26,0.51,0.00,0.26
國立, 專業群科,食品群,952,1,4,24,1,6,1,8,0.11,0.42,2.52,0.11,0.63,0.11,0.84
國立, 專業群科,家政群,906,5,0,9,1,1,1,4,0.55,0.00,0.99,0.11,0.11,0.11,0.44
國立, 專業群科,餐旅群,1093,1,6,14,5,2,1,7,0.09,0.55,1.28,0.46,0.18,0.09,0.64
國立, 專業群科,水產群,149,1,7,3,1,1,0,9,0.67,4.70,2.01,0.67,0.67,0.00,6.04
國立, 專業群科,海事群,249,1,10,8,1,0,0,3,0.40,4.02,3.21,0.40,0.00,0.00,1.20
國立, 專業群科,藝術群,131,4,5,0,2,0,0,1,3.05,3.82,0.00,1.53,0.00,0.00,0.76
國立, 專業群科,服務群,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立, 專業群科,綜合,567,32,6,91,1,5,1,7,5.64,1.06,16.05,0.18,0.88,0.18,1.23
國立, 綜合高中,學術學程,2912,2,10,3,25,0,1,5,0.07,0.34,0.10,0.86,0.00,0.03,0.17
國立, 綜合高中,機械群,93,0,0,0,1,0,0,0,0.00,0.00,0.00,1.08,0.00,0.00,0.00
國立, 綜合高中,動力機械群,8,0,1,0,0,0,0,0,0.00,12.50,0.00,0.00,0.00,0.00,0.00
國立, 綜合高中,電機與電子群,107,0,0,1,0,0,0,0,0.00,0.00,0.93,0.00,0.00,0.00,0.00
國立, 綜合高中,化工群,42,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立, 綜合高中,土木與建築群,53,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立, 綜合高中,商業群,356,0,1,0,0,0,0,4,0.00,0.28,0.00,0.00,0.00,0.00,1.12
國立, 綜合高中,外語群,113,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立, 綜合高中,設計群,38,0,0,1,0,0,0,0,0.00,0.00,2.63,0.00,0.00,0.00,0.00
國立, 綜合高中,農業群,51,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立, 綜合高中,食品群,94,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立, 綜合高中,家政群,4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立, 綜合高中,餐旅群,210,0,3,1,1,0,0,0,0.00,1.43,0.48,0.48,0.00,0.00,0.00
國立, 綜合高中,水產群,27,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
國立, 綜合高中,藝術群,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
