,sum
0,99.78113053449997
1,99.15999999999998
2,99.32999999999994
3,99.74999999999999
4,99.94999999999996
5,99.37999999999995
6,99.60000000000004
7,99.75
8,99.56000000000002
9,99.29999999999998
10,99.61000000000003
11,99.61999999999999
12,99.97999999999998
13,99.37999999999998
14,97.41
15,98.65999999999997
16,97.58
17,99.61862386800001
18,100.03000000000007
19,99.99000000000001
20,99.49000000000001
21,99.99999999999999
22,100.03
23,99.17000000000006
24,98.30000000000004
25,97.44000000000003
26,99.99999999999997
27,99.64000000000004
28,99.09000000000002
29,99.49000000000004
30,99.99999999999999
31,100.00000000000001
32,100.0
33,100.0
34,97.73999999999997
35,98.21000000000001
36,98.78999999999995
37,100.02000000000002
38,99.13000000000001
39,98.22
40,97.75999999999993
41,97.19999999999995
42,98.36999999999996
43,99.98999999999997
44,99.99000000000001
45,98.69999999999999
46,99.73253502799999
47,99.77999999999997
48,99.87
49,99.73999999999997
50,98.83000000000001
51,100.00000000000001
52,99.36000000000001
53,99.59000000000002
54,99.36000000000004
55,100.01
56,99.99999999999999
57,100.0
58,100.00000000000001
59,0.0
60,100.00000000000001
61,99.83395599830001
62,100.0
63,99.61999999999999
64,99.99999999999999
65,100.00999999999999
66,99.65000000000003
67,100.0
68,99.31000000000003
69,100.0
70,100.0
71,99.99000000000001
72,100.0
73,100.0
74,99.99000000000001
75,100.00000000000001
76,96.73999999999995
77,100.0
78,93.56
79,99.99
80,99.74402132019999
81,99.24000000000005
82,99.27000000000002
83,99.26
84,99.51999999999998
85,99.47999999999999
86,99.59999999999998
87,99.41000000000004
88,99.04000000000002
89,99.20000000000002
90,100.0
91,99.47000000000003
92,99.3
93,99.48860994860003
94,100.00999999999999
95,99.98000000000002
96,99.94000000000003
97,100.0
98,99.87000000000002
99,99.65999999999995
100,98.88999999999993
101,98.66999999999994
102,99.27000000000001
103,100.01
104,97.85999999999997
105,99.99000000000001
106,98.61
107,99.86999999999999
108,100.0
109,97.56999999999998
110,100.02
111,98.52999999999999
112,98.30999999999997
113,99.22999999999999
114,99.78562853700001
115,98.98328061409995
116,99.14263445059996
117,99.50797087130003
118,99.67132292539998
119,99.2828685258
120,99.4785199902999
121,99.68152866250001
122,99.49706621960006
123,99.50522264969999
124,99.29278642249999
125,99.3697478992
126,99.04122722920002
127,100.00000000010002
128,99.9999999998
129,99.99999999999999
130,95.93220339
131,99.28844151310004
132,100.00000000019996
133,99.99999999990001
134,99.99999999980002
135,100.00000000010002
136,100.00000000009999
137,99.10344827559997
138,99.9999999998
139,99.3288590603
140,99.99999999990004
141,100.00000000000003
142,99.99999999980002
143,99.31740614349995
144,97.61904761929999
145,100.0
146,100.0
147,100.0
148,97.8761061947
149,98.4732824427
150,98.48229342360001
151,100.0
