設立別,學程別,群科別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,,34267,15733,73,16005,141,0,1,6,3,48,407,458,226,7,96.6177371815,45.9129775002,0.2130329472,46.7067440978,0.4114745966,0.0,0.0029182596,0.0175095573,0.0087547787,0.1400764584,1.1877316369,1.3365628739,0.6595266583,0.0204278169,1,0,8,0,0,4,13,1,28,2,0,0,1,7,99,1,0,4,16,0.5398780168,0.0029182596,0.0,0.0233460764,0.0,0.0,0.0116730382,0.0379373742,0.0029182596,0.0817112674,0.0058365191,0.0,0.0,0.0029182596,0.0204278169,0.2889076955,0.0029182596,0.0,0.0116730382,0.0466921528,4,98,9,750,3,4,31,0.0116730382,0.2859894359,0.026264336,2.1886946625,0.0087547787,0.0116730382,0.0904660461
國立,職業科,機械群,4502,1356,416,1828,296,21,0,4,4,0,2,90,1,4,89.34,30.12,9.24,40.6,6.57,0.47,0.0,0.09,0.09,0.0,0.04,2.0,0.02,0.09,7,1,92,0,0,16,7,5,16,2,0,0,13,12,36,7,0,3,32,5.53,0.16,0.02,2.04,0.0,0.0,0.36,0.16,0.11,0.36,0.04,0.0,0.0,0.29,0.27,0.8,0.16,0.0,0.07,0.71,15,100,21,40,5,1,11,0.33,2.22,0.47,0.89,0.11,0.02,0.24
國立,職業科,動力機械群,1239,308,47,466,65,12,7,0,1,0,2,34,0,0,76.03,24.86,3.79,37.61,5.25,0.97,0.56,0.0,0.08,0.0,0.16,2.74,0.0,0.0,13,2,33,1,0,10,5,3,21,0,0,0,21,10,53,0,0,3,11,15.01,1.05,0.16,2.66,0.08,0.0,0.81,0.4,0.24,1.69,0.0,0.0,0.0,1.69,0.81,4.28,0.0,0.0,0.24,0.89,4,66,4,22,3,1,3,0.32,5.33,0.32,1.78,0.24,0.08,0.24
國立,職業科,電機與電子群,5195,1762,171,2478,122,18,4,5,6,0,3,101,0,2,89.93,33.92,3.29,47.7,2.35,0.35,0.08,0.1,0.12,0.0,0.06,1.94,0.0,0.04,13,2,41,11,1,8,14,3,26,5,0,0,11,11,62,0,1,3,38,4.81,0.25,0.04,0.79,0.21,0.02,0.15,0.27,0.06,0.5,0.1,0.0,0.0,0.21,0.21,1.19,0.0,0.02,0.06,0.73,16,143,25,54,3,1,17,0.31,2.75,0.48,1.04,0.06,0.02,0.33
國立,職業科,化工群,1268,566,35,537,32,2,1,0,1,0,0,26,0,0,94.64,44.64,2.76,42.35,2.52,0.16,0.08,0.0,0.08,0.0,0.0,2.05,0.0,0.0,1,0,6,0,0,1,0,0,10,2,0,0,4,0,9,0,1,0,3,2.92,0.08,0.0,0.47,0.0,0.0,0.08,0.0,0.0,0.79,0.16,0.0,0.0,0.32,0.0,0.71,0.0,0.08,0.0,0.24,1,12,3,12,0,1,1,0.08,0.95,0.24,0.95,0.0,0.08,0.08
國立,職業科,土木與建築群,1267,316,67,676,30,25,1,2,2,0,0,21,1,1,90.13,24.94,5.29,53.35,2.37,1.97,0.08,0.16,0.16,0.0,0.0,1.66,0.08,0.08,4,0,1,0,0,6,6,0,14,0,0,0,1,1,25,0,0,0,4,4.89,0.32,0.0,0.08,0.0,0.0,0.47,0.47,0.0,1.1,0.0,0.0,0.0,0.08,0.08,1.97,0.0,0.0,0.0,0.32,2,29,2,16,1,1,4,0.16,2.29,0.16,1.26,0.08,0.08,0.32
國立,職業科,商業與管理群,7990,2663,440,4304,99,1,4,3,2,1,1,62,5,2,94.96,33.33,5.51,53.87,1.24,0.01,0.05,0.04,0.03,0.01,0.01,0.78,0.06,0.03,5,2,7,2,0,3,13,1,57,4,2,1,6,5,39,0,2,23,51,2.79,0.06,0.03,0.09,0.03,0.0,0.04,0.16,0.01,0.71,0.05,0.03,0.01,0.08,0.06,0.49,0.0,0.03,0.29,0.64,2,55,15,54,2,1,15,0.03,0.69,0.19,0.68,0.03,0.01,0.19
國立,職業科,外語群,887,496,8,359,5,0,1,0,0,0,1,1,2,1,98.53,55.92,0.9,40.47,0.56,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.23,0.11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.34,0.0,0.0,0.11,0.0,0,1,0,3,0,1,0,0.0,0.11,0.0,0.34,0.0,0.11,0.0
國立,職業科,設計群,1193,266,88,728,16,0,0,0,0,0,1,13,1,1,93.38,22.3,7.38,61.02,1.34,0.0,0.0,0.0,0.0,0.0,0.08,1.09,0.08,0.08,0,0,2,0,0,3,5,0,9,2,0,0,3,0,4,1,0,1,7,3.1,0.0,0.0,0.17,0.0,0.0,0.25,0.42,0.0,0.75,0.17,0.0,0.0,0.25,0.0,0.34,0.08,0.0,0.08,0.59,1,10,3,17,0,1,5,0.08,0.84,0.25,1.42,0.0,0.08,0.42
國立,職業科,農業群,1803,498,97,776,64,36,0,1,0,0,2,14,0,1,82.58,27.62,5.38,43.04,3.55,2.0,0.0,0.06,0.0,0.0,0.11,0.78,0.0,0.06,31,0,12,0,0,5,11,4,41,2,0,0,8,13,64,0,2,8,24,12.48,1.72,0.0,0.67,0.0,0.0,0.28,0.61,0.22,2.27,0.11,0.0,0.0,0.44,0.72,3.55,0.0,0.11,0.44,1.33,1,34,22,7,1,1,10,0.06,1.89,1.22,0.39,0.06,0.06,0.55
