設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,27679,12718,74,12810,55,2,0,2,1,30,396,402,249,6,96.63,45.95,0.27,46.28,0.2,0.01,0.0,0.01,0.0,0.11,1.43,1.45,0.9,0.02,7,0,13,0,1,4,12,1,46,2,0,0,0,3,85,2,0,9,20,0.74,0.03,0.0,0.05,0.0,0.0,0.01,0.04,0.0,0.17,0.01,0.0,0.0,0.0,0.01,0.31,0.01,0.0,0.03,0.07,10,109,17,506,3,9,10,0.04,0.39,0.06,1.83,0.01,0.03,0.04
國立,專業群(職業)科,機械群,3347,1004,260,1315,203,13,1,1,0,1,2,67,2,0,85.72,30.0,7.77,39.29,6.07,0.39,0.03,0.03,0.0,0.03,0.06,2.0,0.06,0.0,11,1,105,2,0,12,6,2,30,0,0,1,12,7,32,0,0,11,21,7.56,0.33,0.03,3.14,0.06,0.0,0.36,0.18,0.06,0.9,0.0,0.0,0.03,0.36,0.21,0.96,0.0,0.0,0.33,0.63,16,86,18,40,4,0,17,0.48,2.57,0.54,1.2,0.12,0.0,0.51
國立,專業群(職業)科,動力機械群,958,148,75,267,66,6,0,0,0,0,0,26,0,0,61.38,15.45,7.83,27.87,6.89,0.63,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,12,0,53,8,0,13,10,7,17,2,0,0,43,3,6,0,1,11,37,23.28,1.25,0.0,5.53,0.84,0.0,1.36,1.04,0.73,1.77,0.21,0.0,0.0,4.49,0.31,0.63,0.0,0.1,1.15,3.86,0,107,8,11,1,0,6,0.0,11.17,0.84,1.15,0.1,0.0,0.63
國立,專業群(職業)科,電機與電子群,3947,1244,197,1615,107,26,8,0,1,0,10,81,1,2,83.41,31.52,4.99,40.92,2.71,0.66,0.2,0.0,0.03,0.0,0.25,2.05,0.03,0.05,18,1,80,18,3,14,14,4,44,1,1,0,42,11,40,0,1,8,29,8.34,0.46,0.03,2.03,0.46,0.08,0.35,0.35,0.1,1.11,0.03,0.03,0.0,1.06,0.28,1.01,0.0,0.03,0.2,0.73,8,185,20,41,1,1,30,0.2,4.69,0.51,1.04,0.03,0.03,0.76
國立,專業群(職業)科,化工群,846,376,33,341,7,0,1,0,0,0,1,14,0,0,91.37,44.44,3.9,40.31,0.83,0.0,0.12,0.0,0.0,0.0,0.12,1.65,0.0,0.0,1,0,12,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,10,3.66,0.12,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,1.18,0,20,3,11,0,0,5,0.0,2.36,0.35,1.3,0.0,0.0,0.59
國立,專業群(職業)科,土木與建築群,1007,269,29,517,20,19,0,0,1,0,0,15,0,0,86.4,26.71,2.88,51.34,1.99,1.89,0.0,0.0,0.1,0.0,0.0,1.49,0.0,0.0,5,4,5,1,0,11,1,1,13,0,0,0,1,3,1,0,0,1,9,5.56,0.5,0.4,0.5,0.1,0.0,1.09,0.1,0.1,1.29,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.89,3,42,5,13,1,2,7,0.3,4.17,0.5,1.29,0.1,0.2,0.7
國立,專業群(職業)科,商業與管理群,6136,2116,236,3062,129,12,3,1,0,1,12,58,5,1,91.85,34.49,3.85,49.9,2.1,0.2,0.05,0.02,0.0,0.02,0.2,0.95,0.08,0.02,8,1,34,3,0,9,51,0,70,1,4,2,11,2,66,1,5,7,28,4.94,0.13,0.02,0.55,0.05,0.0,0.15,0.83,0.0,1.14,0.02,0.07,0.03,0.18,0.03,1.08,0.02,0.08,0.11,0.46,9,69,33,37,5,1,13,0.15,1.12,0.54,0.6,0.08,0.02,0.21
國立,專業群(職業)科,外語群,927,372,18,478,10,2,2,0,0,1,1,3,1,0,95.79,40.13,1.94,51.56,1.08,0.22,0.22,0.0,0.0,0.11,0.11,0.32,0.11,0.0,0,0,2,0,0,0,2,0,6,1,0,0,2,0,1,1,0,1,4,2.16,0.0,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.65,0.11,0.0,0.0,0.22,0.0,0.11,0.11,0.0,0.11,0.43,0,3,0,10,0,1,3,0.0,0.32,0.0,1.08,0.0,0.11,0.32
國立,專業群(職業)科,設計群,1139,201,42,778,28,1,1,0,0,2,0,7,2,0,93.24,17.65,3.69,68.31,2.46,0.09,0.09,0.0,0.0,0.18,0.0,0.61,0.18,0.0,1,0,2,1,0,2,0,0,11,0,1,0,2,2,5,1,0,6,3,3.25,0.09,0.0,0.18,0.09,0.0,0.18,0.0,0.0,0.97,0.0,0.09,0.0,0.18,0.18,0.44,0.09,0.0,0.53,0.26,2,5,7,15,0,0,4,0.18,0.44,0.61,1.32,0.0,0.0,0.35
國立,專業群(職業)科,農業群,1590,534,129,508,30,19,11,0,3,0,0,7,0,0,78.05,33.58,8.11,31.95,1.89,1.19,0.69,0.0,0.19,0.0,0.0,0.44,0.0,0.0,56,2,7,4,0,10,5,3,47,0,0,0,7,15,32,0,2,12,16,13.71,3.52,0.13,0.44,0.25,0.0,0.63,0.31,0.19,2.96,0.0,0.0,0.0,0.44,0.94,2.01,0.0,0.13,0.75,1.01,1,72,30,11,3,0,1,0.06,4.53,1.89,0.69,0.19,0.0,0.06
