設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,24428,11026,134,11076,106,1,1,3,1,32,103,493,176,2,94.78,45.14,0.55,45.34,0.43,0.0,0.0,0.01,0.0,0.13,0.42,2.02,0.72,0.01,5,1,15,2,2,6,16,4,30,0,1,0,8,16,126,0,3,10,19,1.08,0.02,0.0,0.06,0.01,0.01,0.02,0.07,0.02,0.12,0.0,0.0,0.0,0.03,0.07,0.52,0.0,0.01,0.04,0.08,6,53,20,817,12,9,16,0.02,0.22,0.08,3.34,0.05,0.04,0.07
國立,專業群科,機械群,3182,1125,213,1166,124,12,2,1,0,1,6,47,0,2,84.82,35.36,6.69,36.64,3.9,0.38,0.06,0.03,0.0,0.03,0.19,1.48,0.0,0.06,7,1,87,7,2,18,17,8,42,4,0,0,21,11,63,0,1,3,14,9.62,0.22,0.03,2.73,0.22,0.06,0.57,0.53,0.25,1.32,0.13,0.0,0.0,0.66,0.35,1.98,0.0,0.03,0.09,0.44,10,53,20,23,2,0,6,0.31,1.67,0.63,0.72,0.06,0.0,0.19
國立,專業群科,動力機械群,953,216,46,274,60,12,0,0,1,0,0,22,0,0,66.21,22.67,4.83,28.75,6.3,1.26,0.0,0.0,0.1,0.0,0.0,2.31,0.0,0.0,24,0,13,5,0,18,8,9,22,0,0,0,72,8,47,0,0,2,9,24.87,2.52,0.0,1.36,0.52,0.0,1.89,0.84,0.94,2.31,0.0,0.0,0.0,7.56,0.84,4.93,0.0,0.0,0.21,0.94,3,34,15,8,1,0,11,0.31,3.57,1.57,0.84,0.1,0.0,1.15
國立,專業群科,電機與電子群,3632,1452,134,1339,96,40,1,0,2,0,1,47,0,4,85.79,39.98,3.69,36.87,2.64,1.1,0.03,0.0,0.06,0.0,0.03,1.29,0.0,0.11,27,0,59,15,0,12,16,8,36,2,1,0,26,13,84,0,0,5,29,9.17,0.74,0.0,1.62,0.41,0.0,0.33,0.44,0.22,0.99,0.06,0.03,0.0,0.72,0.36,2.31,0.0,0.0,0.14,0.8,5,59,25,37,0,0,15,0.14,1.62,0.69,1.02,0.0,0.0,0.41
國立,專業群科,化工群,733,412,10,238,5,0,0,0,0,0,1,7,0,1,91.95,56.21,1.36,32.47,0.68,0.0,0.0,0.0,0.0,0.0,0.14,0.95,0.0,0.14,4,0,17,0,0,2,1,0,9,0,0,0,1,0,4,0,0,3,1,5.73,0.55,0.0,2.32,0.0,0.0,0.27,0.14,0.0,1.23,0.0,0.0,0.0,0.14,0.0,0.55,0.0,0.0,0.41,0.14,0,9,2,2,0,1,0,0.0,1.23,0.27,0.27,0.0,0.14,0.0
國立,專業群科,土木與建築群,894,291,28,382,25,12,0,0,1,0,1,8,0,1,83.78,32.55,3.13,42.73,2.8,1.34,0.0,0.0,0.11,0.0,0.11,0.89,0.0,0.11,8,1,7,1,4,20,9,1,7,1,0,0,1,2,33,0,2,0,7,11.63,0.89,0.11,0.78,0.11,0.45,2.24,1.01,0.11,0.78,0.11,0.0,0.0,0.11,0.22,3.69,0.0,0.22,0.0,0.78,2,15,6,11,3,0,2,0.22,1.68,0.67,1.23,0.34,0.0,0.22
國立,專業群科,商業與管理群,5206,1977,216,2498,79,7,2,1,0,0,1,47,3,8,92.95,37.98,4.15,47.98,1.52,0.13,0.04,0.02,0.0,0.0,0.02,0.9,0.06,0.15,2,0,17,3,1,5,33,2,75,4,4,0,3,7,70,1,0,3,8,4.57,0.04,0.0,0.33,0.06,0.02,0.1,0.63,0.04,1.44,0.08,0.08,0.0,0.06,0.13,1.34,0.02,0.0,0.06,0.15,3,23,32,33,4,0,14,0.06,0.44,0.61,0.63,0.08,0.0,0.27
國立,專業群科,外語群,885,431,21,382,10,0,0,0,0,0,0,17,2,0,97.51,48.7,2.37,43.16,1.13,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.23,0.0,1,0,0,0,0,1,2,0,3,0,0,0,0,0,4,0,0,0,0,1.24,0.11,0.0,0.0,0.0,0.0,0.11,0.23,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0,0,3,6,0,0,2,0.0,0.0,0.34,0.68,0.0,0.0,0.23
國立,專業群科,設計群,1099,260,21,693,20,3,3,1,0,0,2,7,0,0,91.9,23.66,1.91,63.06,1.82,0.27,0.27,0.09,0.0,0.0,0.18,0.64,0.0,0.0,5,0,3,1,0,0,4,0,5,1,0,0,8,0,19,0,1,3,1,4.64,0.45,0.0,0.27,0.09,0.0,0.0,0.36,0.0,0.45,0.09,0.0,0.0,0.73,0.0,1.73,0.0,0.09,0.27,0.09,1,3,17,11,2,0,1,0.09,0.27,1.55,1.0,0.18,0.0,0.09
國立,專業群科,農業群,1262,522,80,345,27,25,4,0,1,0,1,3,0,0,79.87,41.36,6.34,27.34,2.14,1.98,0.32,0.0,0.08,0.0,0.08,0.24,0.0,0.0,31,1,29,2,0,6,13,2,47,2,0,0,5,8,52,0,0,11,9,17.27,2.46,0.08,2.3,0.16,0.0,0.48,1.03,0.16,3.72,0.16,0.0,0.0,0.4,0.63,4.12,0.0,0.0,0.87,0.71,1,8,20,2,3,0,2,0.08,0.63,1.58,0.16,0.24,0.0,0.16
國立,專業群科,食品群,1008,296,54,424,21,0,5,0,0,0,0,18,0,1,81.25,29.37,5.36,42.06,2.08,0.0,0.5,0.0,0.0,0.0,0.0,1.79,0.0,0.1,6,1,12,1,1,2,12,1,51,0,0,0,0,3,31,0,1,2,16,13.89,0.6,0.1,1.19,0.1,0.1,0.2,1.19,0.1,5.06,0.0,0.0,0.0,0.0,0.3,3.08,0.0,0.1,0.2,1.59,3,4,15,3,3,0,3,0.3,0.4,1.49,0.3,0.3,0.0,0.3
