設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版影音及資通訊業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版影音及資通訊業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立, 專業群科,機械群,2983,1146,234,995,130,14,0,2,3,0,0,32,0,1,85.72,38.42,7.84,33.36,4.36,0.47,0.0,0.07,0.1,0.0,0.0,1.07,0.0,0.03,18,0,84,8,2,12,11,3,17,2,1,0,25,10,60,0,0,9,20,9.45,0.6,0.0,2.82,0.27,0.07,0.4,0.37,0.1,0.57,0.07,0.03,0.0,0.84,0.34,2.01,0.0,0.0,0.3,0.67,5,43,23,21,10,0,7,0.17,1.44,0.77,0.7,0.34,0.0,0.23
國立, 專業群科,動力機械群,908,268,39,255,20,12,0,0,0,0,1,13,1,2,67.29,29.52,4.3,28.08,2.2,1.32,0.0,0.0,0.0,0.0,0.11,1.43,0.11,0.22,14,1,32,1,0,17,5,8,7,1,0,1,45,16,61,0,0,3,27,26.32,1.54,0.11,3.52,0.11,0.0,1.87,0.55,0.88,0.77,0.11,0.0,0.11,4.96,1.76,6.72,0.0,0.0,0.33,2.97,0,23,7,6,5,0,9,0.0,2.53,0.77,0.66,0.55,0.0,0.99
國立, 專業群科,電機與電子群,3429,1489,142,1210,69,25,0,2,2,0,2,31,0,0,86.67,43.42,4.14,35.29,2.01,0.73,0.0,0.06,0.06,0.0,0.06,0.9,0.0,0.0,13,0,52,25,0,20,8,0,28,1,0,0,24,11,90,0,0,0,19,8.49,0.38,0.0,1.52,0.73,0.0,0.58,0.23,0.0,0.82,0.03,0.0,0.0,0.7,0.32,2.62,0.0,0.0,0.0,0.55,7,59,29,21,1,0,9,0.2,1.72,0.85,0.61,0.03,0.0,0.26
國立, 專業群科,化工群,712,447,15,197,8,0,0,2,0,0,0,8,0,0,95.08,62.78,2.11,27.67,1.12,0.0,0.0,0.28,0.0,0.0,0.0,1.12,0.0,0.0,2,0,2,0,0,1,0,0,0,1,0,0,2,2,6,0,0,4,7,3.79,0.28,0.0,0.28,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.28,0.28,0.84,0.0,0.0,0.56,0.98,1,3,3,0,1,0,0,0.14,0.42,0.42,0.0,0.14,0.0,0.0
國立, 專業群科,土木與建築群,819,282,23,370,20,13,0,0,0,0,0,4,0,0,86.94,34.43,2.81,45.18,2.44,1.59,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,2,0,3,1,0,28,2,4,8,0,0,0,1,0,21,0,0,0,9,9.65,0.24,0.0,0.37,0.12,0.0,3.42,0.24,0.49,0.98,0.0,0.0,0.0,0.12,0.0,2.56,0.0,0.0,0.0,1.1,4,7,11,3,0,1,0,0.49,0.85,1.34,0.37,0.0,0.12,0.0
國立, 專業群科,商業與管理群,4972,2002,168,2332,51,7,3,0,5,0,0,32,2,0,92.56,40.27,3.38,46.9,1.03,0.14,0.06,0.0,0.1,0.0,0.0,0.64,0.04,0.0,8,0,25,1,0,10,13,9,68,1,3,0,10,16,66,0,1,3,15,5.01,0.16,0.0,0.5,0.02,0.0,0.2,0.26,0.18,1.37,0.02,0.06,0.0,0.2,0.32,1.33,0.0,0.02,0.06,0.3,10,27,32,24,2,0,11,0.2,0.54,0.64,0.48,0.04,0.0,0.22
國立, 專業群科,外語群,850,409,9,373,15,0,0,0,2,0,0,12,1,0,96.59,48.12,1.06,43.88,1.76,0.0,0.0,0.0,0.24,0.0,0.0,1.41,0.12,0.0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,8,1,1,0,1,2.12,0.12,0.0,0.0,0.0,0.0,0.12,0.24,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.94,0.12,0.12,0.0,0.12,1,0,2,5,0,0,0,0.12,0.0,0.24,0.59,0.0,0.0,0.0
國立, 專業群科,設計群,1083,272,15,681,18,3,1,1,0,0,0,10,0,1,92.52,25.12,1.39,62.88,1.66,0.28,0.09,0.09,0.0,0.0,0.0,0.92,0.0,0.09,2,0,5,1,0,6,9,0,10,0,1,0,1,5,7,0,0,1,4,4.8,0.18,0.0,0.46,0.09,0.0,0.55,0.83,0.0,0.92,0.0,0.09,0.0,0.09,0.46,0.65,0.0,0.0,0.09,0.37,2,3,7,5,1,1,2,0.18,0.28,0.65,0.46,0.09,0.09,0.18
國立, 專業群科,農業群,1175,564,67,276,19,7,0,1,0,0,0,6,0,0,80.0,48.0,5.7,23.49,1.62,0.6,0.0,0.09,0.0,0.0,0.0,0.51,0.0,0.0,34,2,18,1,0,11,8,1,30,1,0,0,3,9,44,0,1,7,16,15.83,2.89,0.17,1.53,0.09,0.0,0.94,0.68,0.09,2.55,0.09,0.0,0.0,0.26,0.77,3.74,0.0,0.09,0.6,1.36,2,12,19,3,6,0,3,0.17,1.02,1.62,0.26,0.51,0.0,0.26
國立, 專業群科,食品群,952,277,57,401,19,0,0,0,0,0,0,10,0,0,80.25,29.1,5.99,42.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,4,0,17,0,0,2,10,3,45,1,0,0,1,19,32,0,1,1,7,15.02,0.42,0.0,1.79,0.0,0.0,0.21,1.05,0.32,4.73,0.11,0.0,0.0,0.11,2.0,3.36,0.0,0.11,0.11,0.74,1,4,24,1,6,1,8,0.11,0.42,2.52,0.11,0.63,0.11,0.84
